hotel_name;region;ratings;price;start_date;end_date
제주 아이브 호텔 앤 리조트;서귀포;8.0;529416;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
벨룸리조트;서귀포;8.9;2111472;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
WE호텔 제주;서귀포;8.5;1683085;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
아이진 호텔;제주 시내, 제주;8.2;520128;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
메종 글래드 제주;제주 시내, 제주;7.9;935148;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
신신호텔 제주공항;제주 시내, 제주;7.5;259766;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
제주오리엔탈호텔 & 카지노;제주 시내, 제주;7.5;495360;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
켄싱턴리조트 제주한림;한림읍, 제주;8.3;1321797;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
더 큐브 리조트 제주;서귀포;8.1;540286;2023-07-22 12:38:30.798332;2023-07-28 12:38:30.798332
hotel_name;region;ratings;price;start_date;end_date
신라스테이 제주;제주 시내, 제주;7.8;816750;2023-07-22 12:38:30.798332;2023-07-29 12:38:30.798332
스위트 호텔 제주;중문 해수욕장, 서귀포;8.1;1297912;2023-07-22 12:38:30.798332;2023-07-29 12:38:30.798332
